/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/tests/authoring_http_integration.rs:16 | INTERNAL | sem_os_core::ports::BootstrapAuditStore | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/tests/authoring_http_integration.rs:17 | INTERNAL | sem_os_policy::service::CoreServiceImpl | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/middleware/jwt.rs:15 | INTERNAL | sem_os_core::principal::JwtClaims | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/middleware/jwt.rs:15 | INTERNAL | sem_os_core::principal::Principal | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/error.rs:9 | INTERNAL | sem_os_core::error::SemOsError | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/dispatcher.rs:10 | INTERNAL | sem_os_core::ports::OutboxStore | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/dispatcher.rs:10 | INTERNAL | sem_os_core::ports::ProjectionWriter | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/router.rs:10 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/main.rs:41 | INTERNAL | sem_os_core::ports::BootstrapAuditStore | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/main.rs:42 | INTERNAL | sem_os_policy::service::CoreServiceImpl | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/resolve_context.rs:6 | INTERNAL | sem_os_core::principal::Principal | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/export.rs:6 | INTERNAL | sem_os_core::proto::ExportSnapshotSetResponse | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/export.rs:7 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/health.rs:10 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/manifest.rs:6 | INTERNAL | sem_os_core::proto::GetManifestResponse | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/manifest.rs:7 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/bootstrap.rs:12 | INTERNAL | sem_os_core::principal::Principal | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/bootstrap.rs:12 | INTERNAL | sem_os_core::proto::BootstrapSeedBundleResponse | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/bootstrap.rs:12 | INTERNAL | sem_os_core::seeds::SeedBundle | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/bootstrap.rs:13 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/changesets.rs:22 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/publish.rs:8 | INTERNAL | sem_os_core::principal::Principal | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/publish.rs:8 | INTERNAL | sem_os_core::proto::BootstrapSeedBundleResponse | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/publish.rs:8 | INTERNAL | sem_os_core::seeds::SeedBundle | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/publish.rs:9 | INTERNAL | sem_os_policy::service::CoreService | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_server/src/handlers/authoring.rs:19 | INTERNAL | sem_os_core::principal::Principal | sem_os_server
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/sqlx_types.rs:12 | INTERNAL | sem_os_core::types:: | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/cleanup.rs:5 | INTERNAL | sem_os_policy::authoring::cleanup::CleanupStore | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/cleanup.rs:6 | INTERNAL | sem_os_policy::authoring::ports::Result | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/store.rs:9 | INTERNAL | sem_os_policy::domain_pack:: | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/store.rs:15 | INTERNAL | sem_os_core::error::SemOsError | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/store.rs:16 | INTERNAL | sem_os_core::ports:: | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/store.rs:20 | INTERNAL | sem_os_core::principal::Principal | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/store.rs:21 | GLOB | sem_os_core::types::* | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/pack_answer.rs:89 | INTERNAL | sem_os_core::principal::Principal | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:21 | INTERNAL | sem_os_core::principal::Principal | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:22 | INTERNAL | sem_os_core::types::Classification | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:23 | INTERNAL | sem_os_ontology::verb_contract::VerbContractBody | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:24 | INTERNAL | sem_os_policy::abac::ActorContext | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:25 | INTERNAL | sem_os_policy::affinity::discover_dsl | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:25 | INTERNAL | sem_os_policy::affinity::AffinityKind | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:25 | INTERNAL | sem_os_policy::affinity::DataRef | sem_os_postgres
/Users/adamtc007/Developer/ob-poc/rust/crates/sem_os_postgres/src/ops/affinity.rs:25 | INTERNAL | sem_os_policy::affinity::TableRef | sem_os_postgres
